Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Owner,Type,Latitude,Longitude
2037,MCDONALDS 729,Fast Food,SUITLAND,MD,20746.0,4777 ALLENTOWN RD,------,MARY HOPKINS NAVIES,Food Establishments,38.82153,-76.886053
2038,MCDONALDS 16852,Fast Food - Chain,CAPITOL HEIGHTS,MD,20743.0,20 RITCHIE RD,------,JEROME NAVIES,Food Establishments,38.888947,-76.86239
2039,MCDONALDS 2702,Fast Food - Chain,UPPER MARLBORO,MD,20772.0,9450 CRAIN HWY,------,CHRIS KEMPCZINSKI,Food Establishments,38.760418,-76.807832
2040,MCDONALDS,Fast Food - Chain,SUITLAND,MD,20746.0,4835 SILVER HILL RD,------,ISAAC GREEN,Food Establishments,38.850775,-76.922423
2041,MCDONALDS 29520,Fast Food,CLINTON,MD,20735.0,8755 BRANCH AVE,------,L CARLOS MATEOS,Food Establishments,38.74764,-76.87971
2042,MCDONALDS 10952,Fast Food - Chain,CLINTON,MD,20735.0,6515 OLD ALEXANDRIA FERRY RD,------,JEROME NAVIES,Food Establishments,38.784923,-76.893738
2043,MCDONALDS 5030,Fast Food,RIVERDALE,MD,20737.0,5600 RIVERDALE RD,------,DON THOMPSON,Food Establishments,38.959071,-76.919115
2044,MCDONALDS 3287,Fast Food - Chain,FORT WASHINGTON,MD,20744.0,7100 ALLENTOWN RD,------,MARY HOPKINS NAVIES,Food Establishments,38.792926,-76.92943
2045,MCDONALDS 1687,Fast Food - Chain,CLINTON,MD,20735.0,8905 STUART LN,------,JEROME NAVIES,Food Establishments,38.766907,-76.885887
2046,MCDONALDS 21119,Fast Food - Chain,FORT WASHINGTON,MD,20744.0,996 EAST SWAN CREEK RD,------,JEROME NAVIES,Food Establishments,38.725332,-76.991191
2047,MCDONALDS 2780,Fast Food,UPPER MARLBORO,MD,20772.0,15475 MARLBORO PIKE,------,DON THOMPSON,Food Establishments,38.823979,-76.737775
2048,MCDONALDS,Fast Food - Chain,OXON HILL,MD,20745.0,5501 LIVINGSTON RD,------,L. CARLOS MATEOS,Food Establishments,38.81533,-76.997942
2049,MCDONALDS,Fast Food,DISTRICT HTS,MD,20747.0,6704 CHAVEZ LN,------,L CARLOS MATEOS,Food Establishments,38.844239,-76.890655
2050,MCDONALDS 5023,Fast Food,BELTSVILLE,MD,20705.0,10531 BALTIMORE AVE,------,DON THOMPSON,Food Establishments,39.028028,-76.917284
2051,MCDONALDS 943,Fast Food - Chain,COLLEGE PARK,MD,20740.0,6219 GREENBELT RD,------,DAVID RARDIN,Food Establishments,38.996749,-76.905427
2052,MCDONALDS 10631,Fast Food,BRENTWOOD,MD,20722.0,4101 BLADENSBURG RD,------,MARK FURR,Food Establishments,38.936536,-76.947222
2053,MCDONALDS 6526,Fast Food - Chain,FORT WASHINGTON,MD,20744.0,9596 LIVINGSTON RD,------,STEVE EASTERBROOK,Food Establishments,38.758933,-76.995564
2054,MCDONALD'S,Fast Food - Chain,NEW CARROLLTON,MD,20784.0,6200 ANNAPOLIS RD,------,LUIS GAVIGNANO,Food Establishments,38.939406,-76.907313
2055,MCDONALD'S,Fast Food - Chain,RIVERDALE,MD,20737.0,6228 BALTIMORE AVE,------,LUIS GAVIGNANO,Food Establishments,38.963995,-76.939168
2056,MCDONALD'S,Fast Food,CAPITOL HEIGHTS,MD,20743.0,4777 MARLBORO PIKE,------,ISAAC GREEN,Food Establishments,38.873519,-76.931263
2057,MCDONALD'S,Fast Food - Chain,CAPITOL HEIGHTS,MD,20743.0,1701 RITCHIE STATION CT,------,CARLOS Mateos,Food Establishments,38.866134,-76.850193
2058,MCDONALDS,Fast Food,HYATTSVILLE,MD,20783.0,6301 NEW HAMPSHIRE AVE,------,LUIS GAVIGNANO,Food Establishments,38.965948,-77.002203
2059,MCNAMARAS,Catering Only,BOWIE,MD,20715.0,7800 CHESTNUT AVE,------,DOMINIC & JAMES DiGregory,Food Establishments,38.997582,-76.777495
2060,Mega Farmers Market,Grocery Store,HYATTSVILLE,MD,20783.0,2400 UNIVERSITY BLVD,------,URIEL OCHOA DIAZ,Food Establishments,38.984568,-76.967465
2061,MEGAMART,Grocery Store,RIVERDALE,MD,20737.0,5801 RIVERDALE RD,------,GERSON LOPEZ,Food Establishments,38.959511,-76.91787
2062,MEGAMART SUPERMARKET,Grocery Store,HYATTSVILLE,MD,20783.0,2340 UNIVERSITY BLVD,------,Uriel OCHOA DIAZ,Food Establishments,38.984305,-76.97014
2063,DMV PIZZA,Carry-out,GREENBELT,MD,20770.0,151 CENTERWAY,------,MASUD RANA,Food Establishments,39.001577,-76.875055
2064,MEMO MARKET,Convenience Store,HYATTSVILLE,MD,20783.0,1810 UNIVERSITY BLVD,------,ERMIYAS BIRD,Food Establishments,38.9842,-76.979735
2065,Menchies,Bakery,LARGO,MD,20774.0,10418 CAMPUS WAY SOUTH,------,JOHN CLAYTON JR,Food Establishments,38.892304,-76.823871
2066,MERCADITO CRUZ,Grocery Store,WEST HYATTSVILLE,MD,20782.0,5611 AGER RD,------,SANTOS Cruz,Food Establishments,38.957282,-76.96694
2067,MERCADITO RAMOS,Grocery Store,HYATTSVILLE,MD,20783.0,8000 NEW HAMPSHIRE AVE,------,REINA MEDINA,Food Establishments,38.990641,-76.987557
2068,MI BARRIO LATIN MARKET,Grocery Store,BELTSVILLE,MD,20705.0,10504 BALTIMORE AVE,------,MANUEL ARBAIZA,Food Establishments,39.027794,-76.917624
2069,MI PAIS LATIN AMERICAN MARKET,Grocery Store,WEST HYATTSVILLE,MD,20782.0,6573 AGER RD,------,CONFESOR HERRERA,Food Establishments,38.971232,-76.978516
2070,MI PUEBLITO BAKERY,Bakery,WEST HYATTSVILLE,MD,20782.0,2906 HAMILTON ST,------,Manuela BARRIOS,Food Establishments,38.955814,-76.965355
2072,MILLWOOD COMMUNITY CENTER,After School Supper Program,CAPITOL HEIGHTS,MD,20743.0,1418 KAREN BLVD,------,ANGELA BOWEN,Food Establishments,38.872355,-76.889702
2073,PRIDE OF AMERICA MOBIL,Gas Station Store,FORT WASHINGTON,MD,20744.0,11800 LIVINGSTON RD,------,ATHER CHAUDHRY,Food Establishments,38.727673,-76.990919
2074,MOES CRABS,Carry-out,ACCOKEEK,MD,20607.0,710 ACCOKEEK RD,------,DAVID TICE,Food Establishments,38.669403,-76.995095
2075,MOORES COUNTRY STORE,Convenience Store,UPPER MARLBORO,MD,20772.0,10104 CROOM RD,------,ASHUK Malavia,Food Establishments,38.750409,-76.761061
2076,MORNING SIDE CAFE,Full Service,BELTSVILLE,MD,20705.0,4041 POWDER MILL RD,120,Yang Kim,Food Establishments,39.047256,-76.937139
2077,DUNKIN DONUTS,Fast Food,COLLEGE PARK,MD,20740.0,10260 BALTIMORE AVE,N,RAFEY OMAR,Food Establishments,39.022579,-76.924545
2078,SOPHIA MARKET,Grocery Store,COLLEGE PARK,MD,20740.0,5000 EDGEWOOD RD,------,GLENDA SANCHEZ,Food Establishments,39.016083,-76.920547
2079,MURRY'S 8025,,UPPER MARLBORO,MD,20772.0,8300 PENNSYLVANIA AVE,------,GARY GOLD,Food Establishments,38.838898,-76.861972
2080,MURRY'S 8030,,OXON HILL,MD,20745.0,6169 LIVINGSTON RD,------,GARY GOLD,Food Establishments,38.804703,-76.990379
2081,MUSTANGS,Bar/Tavern/Lounge,WEST HYATTSVILLE,MD,20782.0,2430 CHILLUM RD,------,JAMES CAREY,Food Establishments,38.95228,-76.969812
2082,DYSON'S STORE,Convenience Store,BRANDYWINE,MD,20613.0,13706 BRANDYWINE RD,------,KISH KASWALU,Food Establishments,38.701598,-76.875036
2083,NAANA INTERNATIONAL FOODS,Grocery Store- Medium,TAKOMA PARK,MD,20912.0,6339 NEW HAMPSHIRE AVE,------,NAANA LARBI,Food Establishments,38.966821,-77.001553
2084,MASON'S FAMOUS LOBSTER ROLLS,Restaurant,NATIONAL HARBOR,MD,20745.0,156 NATIONAL PLZ,------,CAMERON ARTERTON,Food Establishments,38.784334,-77.017171
2086,NEW CARROLLTON CAFE,Fast Food - Local,LANDOVER,MD,20785.0,4300 GARDEN CITY DR,A,CHUNG SON,Food Establishments,38.947722,-76.869554
2087,NEW CHAPEL BAPTIST CHURCH,Church/Temple/Mosque,TEMPLE HILLS,MD,20748.0,5601 OLD BRANCH AVE,------,REV KERRY HILL,Food Establishments,38.813,-76.915295
2088,NEW DAWN BAPTIST CHURCH,,HYATTSVILLE,MD,20782.0,5909 RIGGS RD,------,WILLIE BENNETT,Food Establishments,38.962497,-76.992795
2089,NEW YORK FRIED CHICKEN,Carry-out,DISTRICT HEIGHTS,MD,20747.0,7621 MARLBORO PIKE,------,MOHAMMAD RAZA,Food Establishments,38.845062,-76.874636
2090,NEW YORK ITALIAN DELI & CAFE,Carry-out,BRANDYWINE,MD,20613.0,13700 OLD BRANDYWINE RD,------,JOHN RUSSO,Food Establishments,38.700593,-76.873734
2091,NOTTINGHAM MYERS UNITED METHODIST CHURCH,Church/Temple/Mosque,UPPER MARLBORO,MD,20772.0,15601 BROOKS CHURCH RD,------,DOROTHY MAGRUDER,Food Establishments,38.698082,-76.735886
2092,NOURA HALAL MEAT MARKET,Meat/Poultry Market,NEW CARROLLTON,MD,20784.0,7441 ANNAPOLIS RD,------,FALAH AL-ROBAIE,Food Establishments,38.949272,-76.886955
